,id,lat,lon,cluster,cluster_size,geohash,time_ratio_weekday_True,time_ratio_weekday_False
24870,9809,54.8864,38.1001,4,17,202320012230122222,0.0017400450091642,0.0
24871,9809,54.8851,38.0711,5,87,202320012230021213,0.0875049301275259,0.1144176106005556
24872,9809,54.8427,38.0608,6,26,202320021103333003,0.0321946994362254,0.0011711904253045
24873,9809,54.884,38.1054,7,15,202320012233211010,0.0018328474096529,0.0140628339388758
24879,9814,54.9015,38.0737,0,88,202320012230310212,0.1129973444677673,0.1411100872036279
24880,9814,54.8891,38.0885,1,565,202320012230203331,0.4031525691280656,0.1938135812500851
24881,9814,54.8859,38.0819,2,476,202320012230133232,0.2868637274738753,0.4726654531093245
24882,9814,54.8847,38.0785,3,84,202320012230022230,0.0678911515697545,0.1517370363477068
24883,9814,54.8838,38.0855,4,106,202320012230130131,0.0801296914245047,0.0
24884,9814,54.8981,38.0796,5,20,202320012230200332,0.0157193123250386,0.014067883552969
24885,9814,54.8891,38.0865,6,42,202320012230203232,0.0209679159466319,0.0
24886,9814,54.8879,38.0868,7,13,202320012230203233,0.0,0.0
24890,9818,54.8867,38.0667,0,1241,202320012230012221,0.9703976954260464,0.9713930627615688
24891,9818,54.8833,38.0754,1,21,202320012230022133,0.020271908442718,0.0
24901,9822,54.8925,38.0657,0,407,202320012230321132,0.6768867744423487,0.7514883339151437
24902,9822,54.8983,38.0779,1,25,202320012230311003,0.0232911547067223,0.0404656999179175
24903,9822,54.8863,38.0673,2,170,202320012230012223,0.1802811738741972,0.1195384513779471
24904,9822,54.8846,38.0679,3,92,202320012230021103,0.0844514360333254,0.0059155966072591
24905,9823,54.8838,38.0829,0,431,202320012230133213,1.0,1.0
24932,9835,54.8959,38.0773,0,278,202320012230311031,0.6645179599448634,0.4291667157133945
24933,9835,54.872,38.1484,1,466,202320012300032023,0.3115145618186241,0.5349075371087543
24934,9835,54.8815,38.0642,2,34,202320012230012022,0.011104722732064,0.0348427954280602
24940,9839,54.8899,38.0894,0,166,202320012230203330,0.4738686999359703,0.5265406542241505
24941,9839,54.9284,38.0557,1,184,202320012223222231,0.4222333294131483,0.184111321278819
24942,9839,54.9082,38.0774,2,15,202320012230310002,0.009218968468645,0.0016666446211028
24943,9839,54.9098,38.0783,3,19,202320012230303333,0.0105746991257987,0.0055951640851311
24944,9840,54.8852,38.0571,0,486,202320012230011110,0.7423660960795141,0.4918016371692492
24945,9840,54.8801,38.0601,1,84,202320012230011313,0.1521673108779679,0.0750494405086739
24946,9840,54.8854,38.0541,2,22,202320012223300030,0.0002070679182771,0.0326182191403609
